authors,year,title,journal,text
"Galper, S., et al.",1999,Factors associated with regional nodal failure in patients with early stage breast cancer with 0-3 positive axillary nodes following tangential irradiation alone.,International Journal of Radiation Oncology Biology Physics,"Purpose: Recent randomized trials have suggested that improved local- regional control after radiation therapy significantly increases survival for breast cancer patients with positive axillary nodes treated with adjuvant systemic therapy (1, 2). It has been our policy to use a third radiation field only in patients with 4 or more positive nodes. The purpose of this study was to assess whether there are any clinical or pathologic factors associated with an increased risk of regional nodal failure (RNF) in patients with 0-3 positive nodes treated with tangential radiotherapy (RT) alone with or without systemic therapy. Methods and Materials: We retrospectively analyzed the incidence of RNF for 691 patients with clinical Stage I or II invasive breast cancer treated with complete gross excision of the primary tumor and tangential RT alone between 1978-87; 12% also received systemic therapy. All had 0-3 positive nodes on axillary dissection that had histologic examination of ≥ 6 nodes, and all had potential 8-year follow-up. The median number of axillary nodes removed was 11 (range 6-36). RNF was defined as any recurrence in ipsilateral axillary, internal mammary, supraclavicular, or infraclavicular nodes in the absence of recurrence in the breast, with or without simultaneous distant metastasis. Crude rates for first sites of failure within the first 8 years after treatment were calculated. A polychotomous logistic regression was used to identify factors prognostic for RNF and other sites of first failure. Results: Within 8 years, RNF was the first site of failure for 27 patients for a crude 8-year rate of 3.9%. Isolated axillary failure occurred in 8 patients (1.2%). Isolated supraclavicular and/or infraclavicular failure occurred in 5 (1.3%) and 3 (0.4%) patients, respectively. Isolated internal mammary node failure occurred in 2 patients (0.3%). A polychotomous logistic regression model of first site of failure (local failure, regional nodal, distant/opposite breast, dead without recurrence, no evidence of disease) within 8 years found age < 50 years, moderate or marked necrosis, size greater than 1 cm, and presence of an extensive intraductal component (EIC) to be significantly correlated with site of first failure, but only the last two were associated with a significantly larger relative risk of RNF versus being no evidence of disease at 8 years. The incidence of RNF was 0.7% for patients with tumors ≤ 1 cm compared to 5.7% among patients with larger tumors. Among patients with EIC-positive tumors the incidence of RNF was 7.6% compared to 3.1% among those whose tumors were EIC-negative. Conclusions: Although the incidence of RNF has been shown to be somewhat higher in patients with tumors measuring greater than 1 cm and those with an EIC, RNF is uncommon among all subsets of patients with negative or 1-3 positive lymph nodes treated with conservative surgery, axillary dissection, and only tangential RT fields. Therefore, giving only tangential RT (without a separate nodal field) appears generally acceptable for patients with 0-3 positive nodes."
"Ganju, R. G., et al.",2017,An analysis of the utilization of hypofractionated regimens for early stage breast cancer at a tertiary care cancer center and its community-based affiliates.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Multiple clinical trials have demonstrated that hypofractionation (HF) radiation regimens are equivalent to conventional fractionation schemes (CF) with respect to both outcomes and toxicity. Despite the cost savings associated with HF and the highly publicized endorsements by major regulatory organizations, adoption of these regimens has been slow. We reviewed use of HF in one cancer care network in an attempt to identify potential predictors of utilization. Purpose/Objective(s): Breast cancer patients treated within our cancer care network with external-beam radiation following lumpectomy in 2016 were evaluated. Exclusion criteria included male gender, bilateral breast cancer, requirement of a third field to the supraclavicular nodes, and partial breast irradiation. For purposes of data collection, radiation courses with a dose per fraction > 2 Gy were considered HF, whereas those ≤ 2 Gy were considered CF. Patient, provider and tumor characteristics were categorized by use of HF and compared between groups using a chi-square test or 2-tailed t-test. Results: A total of 233 consecutive patients were identified that met aforementioned criteria. All 69 patients treated at the main academic site received HF. For patients treated at community-based facilities, there was significant variation among the providers, with use of HF ranging from 25.9% to 89.7% (p<0.001). Referral from an academic versus community based surgeon was not associated with HF for the entire group. However, for individual providers there was significant bias for HF when referring surgeon was academic, 62.5% vs 10.5% (p=0.01). The use of HF occurred in 72.4%, 48.5%, and 28.2% of patients respectively for grade 1, 2, and 3 tumors. Thirty-five percent of patients receiving chemotherapy underwent HF as compared to 58% for patients without chemotherapy (p=0.01). 58% percent of stage I patients and 32% of stage II patients received HF radiation (p=0.03). Age and tumor subtype did not significantly impact use of HF (p=0.15, p=0.17). Furthermore, only 60.4% of patients over 70 and 54.6% of hormone positive patients receiving HF. The use of HF was 59.6% in patients who were combined hormone positive, over 50, and not receiving chemotherapy. There was increased use of HF after the implementation of institutional-wide prospective peer-review, 51.3% vs 61.1%, though this was not statistically significant (p=0.44). Conclusion: Despite level I evidence supporting the safety and efficacy of HF, significant variation in its use persists among providers. Despite strong guidelines supporting HF in patients over 50 with T1-2N0 disease, not receiving chemotherapy, a significant proportion of patients treated at our center continue to receive CF. Increased awareness and oversight through educational conferences such as peer-review may be useful in improving compliance to HF."
"Gao, X., et al.",2003,Risk of second primary cancer in the contralateral breast in women treated for early-stage breast cancer: A population-based study.,International Journal of Radiation Oncology Biology Physics,"Purpose: To study the potential risk factors, including radiotherapy (RT) for contralateral breast cancer (CBC), in patients treated for early-stage breast cancer. Methods and Materials: The Surveillance, Epidemiology, and End Results database (1973-1996) was used to study the incidence of CBC after breast cancer. The Cox proportional hazards regression model was used to estimate the relative risk (RR) of CBC, with adjustment for confounders, including age, race, histologic subtype, and use of RT. Information on the use of hormonal therapy and chemotherapy was not available in the Surveillance, Epidemiology, and End Results database. Results: A CBC was documented in 5679 (4.2%) of the 134,501 localized invasive or intraductal breast cancer patients surviving at least 3 months. The 10- and 20-year actuarial rate of CBC was 6.1% and 12%, respectively. In multivariate analysis, medullary carcinoma (RR = 1.18, 95% confidence interval [CI] 1.02-1.37), black race (RR = 1.20, 95% CI 1.08-1.33), and age >55 years at initial diagnosis (RR = 1.15, 95% CI 1.08-1.22) were associated with increased CBC risk. A total of 1234 (3.3%) of 37,379 patients who received RT developed CBC, and 4445 (4.6%) of 97,122 patients who did not receive RT developed CBC. Overall, RT was not associated with an increased risk of CBC (RR = 1.04, 95% CI 0.97-1.10) in multivariate analysis. The CBC risk associated with RT varied substantially with the length of follow-up. During the first 5 years of follow-up, RT was not associated with an increased CBC risk (age-adjusted RR = 0.96, 95% CI 0.88-1.04). For patients surviving for >5 years, RT was associated with a 14% increase in CBC risk (RR = 1.14, 95% CI 1.03-1.26). The increased CBC risk with RT was evident in patients aged <45 years (RR = 1.32, p = 0.01) and >55 years (RR = 1.15, p = 0.04) at initial diagnosis. The 5-, 10-, 15-, and 20-year actuarial rate of CBC was 2.9%, 6.5%, 10.2%, and 13.4%, respectively, for patients with RT; the corresponding rates were 3.0%, 6.0%, 8.9%, and 11.8% for patients without RT. The absolute increase in CBC risk associated with RT was 0.5%, 1.3%, and 1.6% in the 10-, 15-, and 20-year actuarial rate, respectively. Conclusion: CBC is not uncommon after breast cancer, especially for certain subsets of patients. RT was associated with a very small increased long-term CBC risk. This minimal increase in CBC risk should not affect clinical decision-making in treatment selection for patients with localized invasive breast cancer or ductal carcinoma in situ. Unnecessary radiation exposure to the contralateral breast should be avoided for all patients with early-stage breast cancer.  Inc."
"Garda, A. E., et al.",2017,Adoption of hypofractionated radiation therapy for early stage breast cancer in a community based radiation oncology practice.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Despite strong level one evidence and incorporation into the ASTRO evidence-based guidelines in July 2010, hypofractionated whole breast irradiation (HF-WBI) utilization remains suboptimal. Population-based analyses have demonstrated that HF-WBI is utilized in only 30-40% of eligible patients. In 2012, our community-based cancer program developed a multidisciplinary breast tumor board across three clinical sites to standardize care. Herein is the first evaluation, to our knowledge, of the impact of a multidisciplinary tumor board on HF-WBI utilization in a community-based practice. Purpose/Objective(s): Our institutional tumor registry was queried for patients with breast cancer or ductal carcinoma in situ who were treated between January 2006 and December 2015. Eligible cases included women age ≥50 years with stage 0-IIA breast cancer who underwent lumpectomy and whole breast irradiation. HF-WBI courses were defined as courses in which radiation was completed in ≤20 fractions with daily dose of >2.0 Gy. The primary outcome was use of conventionally-fractionated vs. hypofractionated WBI. Chi-squared tests were used for categorical variables and multivariable logistic regression was used to identify factors associated with the use of HF-WBI. Results: We identified 1,067 patients who met inclusion criteria and were included in the analysis. The proportion receiving HF-WBI was strongly associated with year (Table 1, p<0.0001) and increased from 1.8% prior to 2010 to 80.3% in 2015. Multivariable analysis identified that the factors associated with increased use of HF-WBI were later year of treatment, no chemotherapy, older age, grade I-II, and treatment at hospital A. Other factors including race, insurance type, residence in an outside county, estrogen/progesterone receptor status, and extent of lymph node evaluation were not significant. Conclusion: This study demonstrates that the adoption of hypofractionated whole breast irradiation for patients with early stage breast cancer strongly accelerated after the implementation of an institutional multidisciplinary breast tumor board. This locally-based mechanism may be effective for facilitating adoption of national guidelines. Community-based radiation oncology practices could consider similar measures to increase utilization for eligible patients."
"Garsa, A. A., et al.",2011,Quality of life of patients treated with breast conserving surgery and high dose rate interstitial brachytherapy for early-stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To examine quality of life (QOL) of patients with early-stage breast cancer treated with accelerated partial breast irradiation (APBI) using high dose rate (HDR) interstitial brachytherapy. Materials/Methods: Between March 2004 and December 2008, 151 patients with early-stage breast cancer were enrolled in a prospective institutional protocol evaluating APBI using HDR interstitial brachytherapy after breast conserving surgery at Washington University School of Medicine. Eligible patients included those with Tis-T2 tumors measuring ≤ 3 cm excised with negative surgical margins, with no nodal involvement. Patients received 3.4 Gy bid to a total dose of 34 Gy. QOL was measured using the European Organization for Research and Treatment of Cancer (EORTC) QLQ-C30 version 3.0 and QLQ-BR23 questionnaires. QLQ-C30 measures physical, emotional, and social health issues relevant to cancer patients and is comprised of three categories: global health status (GHS)/QOL, functional scales and symptom scales. QLQ-BR23 is a breast cancer specific module, and is scored identical to the functional and symptom scales of QLQ-C30. The QLQ-C30 and QLQ-BR23 were given to patients pretreatment, at the completion of brachytherapy, 6-8 weeks, 3-4 months, and 6-8 months post-treatment, then every 6 months for the next 4.5 years and yearly thereafter. The paired t-test was used to compare pretreatment and post-treatment mean scores at an early and late time point. A p-value<0.05 was considered statistically significant. All tests were two-sided. Results: Median follow-up was 55 months. At 3-4 months post-treatment, the mean scores of breast symptoms, future perspective and sexual function were significantly improved compared to pretreatment. There was significant worsening of the systemic therapy side effects and dyspnea mean scores. The remainder of the scales was not significantly different from pretreatment levels. At 2 years post-treatment, the mean of 8 of 23 scales was significantly improved over the pretreatment mean score. Namely, breast symptoms, arm symptoms, emotional functioning, social functioning, role functioning, future perspective, sexual functioning and financial difficulties were improved. The remainder of the scales was not significantly different from pretreatment levels. Conclusions: Mean QOL scores improved or returned to pretreatment levels 3-4 months after brachytherapy, with the exception of systemic therapy side effects and dyspnea. QOL improved over time, with overall improvement in 8 of 23 scales 2 years after treatment. Multicatheter brachytherapy does not convey lasting reductions in QOL."
"Garsa, A. A., et al.",2011,Cosmetic results after breast conserving surgery and high dose rate interstitial brachytherapy for early-stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To examine the relationship between patient, tumor and treatment characteristics and cosmetic outcomes in women treated with accelerated partial breast irradiation (APBI) using high dose rate (HDR) interstitial brachytherapy for early-stage breast cancer. Subjective and objective scoring methods were used, and the results of both methods are reported. Materials/Methods: Between March 2004 and December 2008, 151 patients with early-stage breast cancer were enrolled in a prospective institutional protocol evaluating APBI using HDR multicatheter interstitial brachytherapy after breast conserving surgery at Washington University School of Medicine. Eligible patients included those with Tis-T2 tumors measuring ≤ 3 cm excised with negative surgical margins, with no nodal involvement. Patients received 3.4 Gy bid to a total dose of 34 Gy. Cosmetic outcomes were evaluated qualitatively by the patient and treating radiation oncologist (IZ) and quantitatively by the percentage breast retraction assessment (pBRA). Qualitative evaluation by patient and physician used the Harris scale (excellent, good, fair, poor). Cosmetic evaluation was done pretreatment (pretx), 6-8 weeks post-treatment, 3-4 months post-treatment, 6-8 months posttreatment, then every 6 months for the next 4.5 years and yearly thereafter. The paired t-test was used to assess changes in mean pBRA at an early and late time point. The kappa statistic was used to evaluate agreement between patient and physician global cosmetic evaluation. Results: The median follow-up was 55 months. Compared to the pretreatment mean pBRA (7.35), there was no significant difference in mean pBRA at 3-4 months (8.09,p=0.21) and 2 years post-treatment (8.30,p=0.15). Patients reported excellent/good outcomes as follows: 92% pretx, 91% at 3-4 months follow-up, 87% at 2 years, and 92% at 3 years. The physician reported excellent/ good outcomes as follows: 97% pretx, 97% at 3-4 months follow-up, 94% at 2 years, and 94% at 3 years. Agreement between patient and physician evaluation using dichotomized cosmetic outcomes (excellent/good or fair/poor) at each time point was poor-slight (k = 0.13-0.37). Conclusions: There is no significant difference in mean pBRA up to two years after treatment. Although patient and physician agreement was low, there was a very high rate of excellent/good cosmetic outcomes in both patient and physician assessments. Multicatheter interstitial brachytherapy does not significantly change breast size as measured by pBRA over time."
"Garsa, A. A., et al.",2011,Fat necrosis after breast conserving surgery and high dose rate interstitial brachytherapy for earlystage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To examine the incidence of and potential predictors of fat necrosis in women treated with high dose rate (HDR) interstitial brachytherapy for early-stage breast cancer. Materials/Methods: Between 2003 and 2010, 238 treated breasts in 236 patients with at least 6 months follow-up were treated with accelerated partial breast irradiation (APBI) using HDR interstitial brachytherapy at Washington University School of Medicine. Patients with Tis-T2 tumors measuring # 3 cm excised with negative surgical margins, with no nodal involvement were candidates for treatment. Ninety-nine percent of treatments (n = 236) were 3.4 Gy B.I.D. to a total dose of 34 Gy (range, 30-40 Gy). The actuarial rate of fat necrosis was estimated using the Kaplan-Meier method. Univariate and multivariate logistic regression models were used to assess the relationship between patient, tumor and treatment characteristics including: age, chemotherapy, hormonal therapy, case number, number of catheters, V100, V150, V200, IRAK, dose homogeneity index, defined as 1-(V150/V100), and acute infection and the development of fat necrosis. Global cosmetic results were scored as excellent, good, fair or poor by the treating radiation oncologist at each follow-up. Fisher's exact test was used to identify the effect of fat necrosis on cosmetic outcome. The worst cosmetic outcome was used for analysis. Results: Median follow-up was 56 months (range, 6-94 months). The crude rate of fat necrosis was 17.6%. The median time to fat necrosis was 21 months. The rate of asymptomatic fat necrosis was 7.6%, and the rate of symptomatic fat necrosis was 10%. Three patients (1.3%) had surgical intervention. In univariate analysis, acute breast infection and anthracycline-based chemotherapy were significantly associated with fat necrosis (p = 0.045 and 0.043, respectively). Treatment-related factors including number of catheters, V100, V150, V200 and IRAK were also significantly associated with fat necrosis. There was significant collinearity between the treatment-related factors, with V150 most predictive (p = 0.002). In multivariate analysis, only V150 was significantly associated with fat necrosis (p = 0.004, odds ratio 1.021, 95% CI 1.007-1.035). 95% of treated breasts had an excellent/good cosmetic outcome. Fat necrosis was significantly associated with a fair/poor cosmetic outcome (p = 0.009). Conclusions: Mammary fat necrosis is a common adverse event after breast conserving surgery and HDR interstitial brachytherapy. Fat necrosis is associated with worse cosmetic outcomes. V150 is the dominant factor associated with fat necrosis in this study."
"Garsa, A. A., et al.",2013,Cosmetic analysis following breast-conserving surgery and adjuvant high-dose-rate interstitial brachytherapy for early-stage breast cancer: A prospective clinical study.,International Journal of Radiation Oncology Biology Physics,"Purpose: To prospectively evaluate cosmetic outcomes in women treated with accelerated partial breast irradiation using high-dose-rate interstitial brachytherapy for early-stage breast cancer. Methods and Materials: Between 2004 and 2008, 151 patients with early-stage breast cancer were enrolled in a phase 2 prospective clinical trial. Eligible patients had stage Tis-T2 tumors of ≤3 cm that were excised with negative margins and with no nodal involvement. Patients received 3.4 Gy twice daily to a total dose of 34 Gy. Both the patients and the treating radiation oncologist qualitatively rated cosmesis as excellent, good, fair, or poor over time and ascribed a cause for changes in cosmesis. Cosmetic outcome was evaluated quantitatively by percentage of breast retraction assessment (pBRA). Patients also reported their satisfaction with treatment over time. Results: Median follow-up was 55 months. The rates of excellent-to-good cosmesis reported by patients and the treating radiation oncologist were 92% and 97% pretreatment, 91% and 97% at 3 to 4 months' follow-up, 87% and 94% at 2 years, and 92% and 94% at 3 years, respectively. Breast infection and adjuvant chemotherapy were independent predictors of a fair-to-poor cosmetic outcome at 3 years. Compared to pretreatment pBRA (7.35), there was no significant change in pBRA over time. The volume receiving more than 150 Gy (V150) was the only significant predictor of pBRA. The majority of patients (86.6%) were completely satisfied with their treatment. Conclusions: Patients and the treating physician reported a high rate of excellent-to-good cosmetic outcomes at all follow-up time points. Acute breast infection and chemotherapy were associated with worse cosmetic outcomes. Multicatheter interstitial brachytherapy does not significantly change breast size as measured by pBRA.  Inc. All rights reserved."
"Garsa, A. A., et al.",2013,A prospective longitudinal clinical trial evaluating quality of life after breast-conserving surgery and high-dose-rate interstitial brachytherapy for early-stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose To prospectively examine quality of life (QOL) of patients with early stage breast cancer treated with accelerated partial breast irradiation (APBI) using high-dose-rate (HDR) interstitial brachytherapy. Methods and Materials Between March 2004 and December 2008, 151 patients with early stage breast cancer were enrolled in a phase 2 prospective clinical trial. Eligible patients included those with Tis-T2 tumors measuring ≤3 cm excised with negative surgical margins and with no nodal involvement. Patients received 3.4 Gy twice daily to a total dose of 34 Gy. QOL was measured using European Organization for Research and Treatment of Cancer (EORTC) QLQ-C30, version 3.0, and QLQ-BR23 questionnaires. The QLQ-C30 and QLQ-BR23 questionnaires were evaluated during pretreatment and then at 6 to 8 weeks, 3 to 4 months, 6 to 8 months, and 1 and 2 years after treatment. Results The median follow-up was 55 months. Breast symptom scores remained stable in the months after treatment, and they significantly improved 6 to 8 months after treatment. Scores for emotional functioning, social functioning, and future perspective showed significant improvement 2 years after treatment. Symptomatic fat necrosis was associated with several changes in QOL, including increased pain, breast symptoms, systemic treatment side effects, dyspnea, and fatigue, as well as decreased role functioning, emotional functioning, and social functioning. Conclusions HDR multicatheter interstitial brachytherapy was well tolerated, with no significant detrimental effect on measured QOL scales/items through 2 years of follow-up. Compared to pretreatment scores, there was improvement in breast symptoms, emotional functioning, social functioning, and future perspective 2 years after treatment.  The Authors. Published by Elsevier Inc. All rights reserved."
"Gebhardt, B. J., et al.",2018,"Standardization of nodal radiation therapy through changes to a breast cancer clinical pathway throughout a large, integrated cancer center network.",Practical Radiation Oncology,"Background: Studies demonstrate safety of omitting axillary nodal dissection for early-stage breast cancer with positive sentinel lymph node (+SLN) biopsy, although trial designs differed in radiation therapy (RT) fields. Regional nodal irradiation was separately shown to improve outcomes in high-risk patients. This led to lack of consensus in RT volumes. Clinical pathways (CPs) standardize care where practice varies unnecessarily. We evaluated the impact of changes to a CP guiding postoperative RT in women with +SLNs on practice patterns throughout a network. Methods and materials: We implemented a CP for management of breast cancer with postoperative RT designed to promote uniform nodal treatment. The CP recommended modified tangents (MTs) including level I/II nodes for women with micrometastases (pN1mi). For women with macrometastases (pN1a), CPs recommended including level I/II LN in MT and a third supraclavicular node (SCN) LN ± internal mammary nodes for women with adverse factors present. Results: RT fields of 233 women undergoing breast-conserving surgery with +SLN but not axillary nodal dissection were retrospectively reviewed: 25% had pN1mi disease and 75% pN1a. Of 127 women treated before CP changes, 35% with pN1mi and 22% with pN1a were treated with whole-breast irradiation alone. Following CP changes, 106 women were treated: 5% with whole-breast irradiation alone, 58% with MT, and 38% with MT + SCN field. Utilization of MT was associated with CP changes. Utilization of a third SCN field was associated with CP changes, pN stage, extracapsular extension, and total number of adverse factors. Conclusions: CPs translate published data and institutional experience into management plans that promote evidence-based care and eliminate unnecessary practice variations. Recognizing that postoperative RT treatment volumes were heterogeneous, we modified the CP based upon the latest evidence for regional nodal irradiation, after which we found increased compliance and consistency with quality guidelines, which will also aid in tracking outcomes in future investigations."
"Gee, H. E., et al.",2015,MicroRNA-related DNA repair/cell-cycle genes independently associated with relapse after radiation therapy for early breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose Local recurrence and distant failure after adjuvant radiation therapy for breast cancer remain significant clinical problems, incompletely predicted by conventional clinicopathologic markers. We had previously identified microRNA-139-5p and microRNA-1274a as key regulators of breast cancer radiation response in vitro. The purpose of this study was to investigate standard clinicopathologic markers of local recurrence in a contemporary series and to establish whether putative target genes of microRNAs involved in DNA repair and cell cycle control could better predict radiation therapy response in vivo. Methods and Materials With institutional ethics board approval, local recurrence was measured in a contemporary, prospectively collected series of 458 patients treated with radiation therapy after breast-conserving surgery. Additionally, independent publicly available mRNA/microRNA microarray expression datasets totaling >1000 early-stage breast cancer patients, treated with adjuvant radiation therapy, with >10 years of follow-up, were analyzed. The expression of putative microRNA target biomarkers - TOP2A, POLQ, RAD54L, SKP2, PLK2, and RAG1 - were correlated with standard clinicopathologic variables using 2-sided nonparametric tests, and to local/distant relapse and survival using Kaplan-Meier and Cox regression analysis. Results We found a low rate of isolated local recurrence (1.95%) in our modern series, and that few clinicopathologic variables (such as lymphovascular invasion) were significantly predictive. In multiple independent datasets (n>1000), however, high expression of RAD54L, TOP2A, POLQ, and SKP2 significantly correlated with local recurrence, survival, or both in univariate and multivariate analyses (P<.001). Low RAG1 expression significantly correlated with local recurrence (multivariate, P=.008). Additionally, RAD54L, SKP2, and PLK2 may be predictive, being prognostic in radiation therapy-treated patients but not in untreated matched control individuals (n=107; P<.05). Conclusions Biomarkers of DNA repair and cell cycle control can identify patients at high risk of treatment failure in those receiving radiation therapy for early breast cancer in independent cohorts. These should be further investigated prospectively, especially TOP2A and SKP2, for which targeted therapies are available."
"Geng, A. B., et al.",2013,Early results of a prospective cohort study on intraoperative radiation therapy for early breast cancer at a single institution.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Targeted Intraoperative Radiation Therapy (IORT) has been explored in clinical studies and used as an alternative to conventional whole breast irradiation (WBI) in early stage breast cancers. It can be advantageous for well-selected patients to avoid 3-6 weeks of post-operative WBI. It also eliminates any uncertainty in localization of the surgical bed in external beam (EBRT) boost. The results of the randomized controlled trial TARGIT-A have been published to demonstrate non-inferiority to WBI in properly selected early breast cancer patients. TARGIT-B, an ongoing trial, compares the outcomes of tumor bed boost delivered by external beam and IORT. Our study utilizes the ASTRO 2009 consensus guideline, the TARGIT-A and TARGIT-B criteria in selecting patients. We report the early radiation treatment related outcomes of our single institution prospective cohort study using the Intrabeam system. Materials/Methods: All eligible patients were entered consecutively into the cohort. Patients meeting criteria of the ASTRO consensus and TARGIT- A trial received IORT as the sole definitive radiation treatment. If surgical pathology revealed findings incompatible with IORT alone, EBRT was added. Patients who did not qualify for IORT as a single modality were eligible to receive IORT as a boost in lieu of an EBRT boost, similar to the TARGIT-B trial. The Harvard Breast Cosmesis Scale, IORT related and surgical outcomes were assessed. Results: Sixty-nine patients were entered into the cohort between September 2011 and October 2012. Four patients did not subsequently receive IORT. Among the remaining 65 patients treated with IORT, the average age was 63.3 years with a median follow-up of 13 months. Tumors are 15% DCIS vs 85% invasive cancer (71% pT1 and 14% pT2). Eighty-five percent of patients are N0 or N1 (mi). The remaining 15% are N1. Hormone receptor status is ER+ 94%, PR+85% and Her2+ 7%. 67.7% received IORT alone, while 32.3% had additional EBRT. The Harvard Breast Cosmesis Scale was measured at 3, 6, and 12 months. Cosmesis was rated as 77% excellent outcome, while 23% good with no fair or poor results. Acute RTOG G3 and G4 complications were 1.5% and 3.1%. Two G4 radionecrosis cases received EBRT. Hyperbaric O2 was given with recovery at follow-ups. Post-operative complications included surgery in 7.7% for wound infection and 1.5% for surgically evacuated hematomas. No patients required having >3 aspirations of a seroma. No long-term complications were noted. Conclusions: Acute complication rates in patients who received IORT alone are comparable to the results of the TARGIT-A trial. IORT as a boost in addition to EBRT may affect those rates. The TARGIT-B trial will further elucidate this question. Excellent and good cosmetic outcomes are achievable in this early report of our study."
"Gianni, L., et al.",2010,"Neoadjuvant chemotherapy with trastuzumab followed by adjuvant trastuzumab versus neoadjuvant chemotherapy alone, in patients with HER2-positive locally advanced breast cancer (the NOAH trial): a randomised controlled superiority trial with a parallel HER2-negative cohort.",The Lancet,"Background: The monoclonal antibody trastuzumab has survival benefit when given with chemotherapy to patients with early, operable, and metastatic breast cancer that has HER2 (also known as ERBB2) overexpression or amplification. We aimed to assess event-free survival in patients with HER2-positive locally advanced or inflammatory breast cancer receiving neoadjuvant chemotherapy with or without 1 year of trastuzumab. Methods: We compared 1 year of treatment with trastuzumab (given as neoadjuvant and adjuvant treatment; n=117) with no trastuzumab (118), in women with HER2-positive locally advanced or inflammatory breast cancer treated with a neoadjuvant chemotherapy regimen consisting of doxorubicin, paclitaxel, cyclophosphamide, methotrexate, and fluorouracil. Randomisation was done with a computer program and minimisation technique, taking account of geographical area, disease stage, and hormone receptor status. Investigators were informed of treatment allocation. A parallel cohort of 99 patients with HER2-negative disease was included and treated with the same chemotherapy regimen. Primary endpoint was event-free survival. Analysis was by intention to treat. This study is registered, number ISRCTN86043495. Findings: Trastuzumab significantly improved event-free survival in patients with HER2-positive breast cancer (3-year event-free survival, 71% [95% CI 61-78; n=36 events] with trastuzumab, vs 56% [46-65; n=51 events] without; hazard ratio 0·59 [95% CI 0·38-0·90]; p=0·013). Trastuzumab was well tolerated and, despite concurrent administration with doxorubicin, only two patients (2%) developed symptomatic cardiac failure. Both responded to cardiac drugs. Interpretation: The addition of neoadjuvant and adjuvant trastuzumab to neoadjuvant chemotherapy should be considered for women with HER2-positive locally advanced or inflammatory breast cancer to improve event-free survival, survival, and clinical and pathological tumour responses. Funding: F Hoffmann-La Roche."
"Gilbo, P., et al.",2016,Utilization of hypofractionated breast treatment.,International Journal of Radiation Oncology,"Purpose/Objective(s): Hypofractionated (HF) whole breast irradiation has become a standard treatment regimen as randomized trials continue to demonstrate equivalence in survival and local control compared to conventional fractionation (CF). Since 2011, ASTRO has adopted clinical guidelines to help guide clinicians in the proper selection of patients to receive HF. However, utilization of this treatment continues to be limited in the United States. Materials/Methods: Beginning in 2010, our department implemented a series of consensus driven and evidence based clinical directives to guide patient selection. Within breast cancer, there were 7 treatment directives that our physicians could select based upon specific inclusion criteria and in combination with their own clinical judgment. Beginning in 2012, our department instituted peer-reviewed contour rounds wherein the treating physician had to further support their decision on using a specific directive. We examined our prospectively gathered patient data for our early stage breast cancer patients receiving CF versus HF whole breast irradiation regimens from 2011 through 2015. Two groups were identified for analysis: one that would be endorsed by ASTRO guidelines (aged = 50, T1-T2N0 with no prior chemotherapy) and a more general cohort encouraged by our clinical directives (Tis-T2, N0-Nmi, with no prior chemotherapy and with no age limit). Results: For the ASTRO endorsed group (n = 685), 68% received HF therapy since 2011 and 80% received HF therapy in 2015. For the more general cohort encouraged by our clinical directives (n = 1042), 61% received HF therapy since 2011 and 73% received HF therapy in 2015. Conclusion: These results indicate that we were able to achieve HF utilization for breast cancer that exceeds the national average (68% vs 35%), but this remains less than ideal. Factors that may have positively contributed to these results include the implementation of evidence-based treatment directives and a culture that allows the choice of any directive as long as it is supported by recommended patient characteristics. One factor that has held back the widespread utilization of HF is the anecdotal concern of increased side effects with this approach, but given recent data suggesting more favorable side effect profiles with HF, we expect the utilization of this modality to increase."
