year,journal,title,text,authors
2013,Lancet,Human papillomavirus and cervical cancer.,"Cervical cancer is caused by human papillomavirus infection. Most human papillomavirus infection is harmless and clears spontaneously but persistent infection with high-risk human papillomavirus (especially type 16) can cause cancer of the cervix, vulva, vagina, anus, penis, and oropharynx. The virus exclusively infects epithelium and produces new viral particles only in fully mature epithelial cells. Human papillomavirus disrupts normal cell-cycle control, promoting uncontrolled cell division and the accumulation of genetic damage. Two effective prophylactic vaccines composed of human papillomavirus type 16 and 18, and human papillomavirus type 16, 18, 6, and 11 virus-like particles have been introduced in many developed countries as a primary prevention strategy. Human papillomavirus testing is clinically valuable for secondary prevention in triaging low-grade cytology and as a test of cure after treatment. More sensitive than cytology, primary screening by human papillomavirus testing could enable screening intervals to be extended. If these prevention strategies can be implemented in developing countries, many thousands of lives could be saved. Copyright © 2013 Elsevier Ltd. All rights reserved.",NA
2012,Lancet,Global burden of cancer in 2008: a systematic analysis of disability-adjusted life-years in 12 world regions.,"Country comparisons that consider the effect of fatal and non-fatal disease outcomes are needed for health-care planning. We calculated disability-adjusted life-years (DALYs) to estimate the global burden of cancer in 2008.We used population-based data, mostly from cancer registries, for incidence, mortality, life expectancy, disease duration, and age at onset and death, alongside proportions of patients who were treated and living with sequelae or regarded as cured, to calculate years of life lost (YLLs) and years lived with disability (YLDs). We used YLLs and YLDs to derive DALYs for 27 sites of cancers in 184 countries in 12 world regions. Estimates were grouped into four categories based on a country's human development index (HDI). We applied zero discounting and uniform age weighting, and age-standardised rates to enable cross-country and regional comparisons.Worldwide, an estimated 169·3 million years of healthy life were lost because of cancer in 2008. Colorectal, lung, breast, and prostate cancers were the main contributors to total DALYs in most world regions and caused 18-50% of the total cancer burden. We estimated an additional burden of 25% from infection-related cancers (liver, stomach, and cervical) in sub-Saharan Africa, and 27% in eastern Asia. We noted substantial global differences in the cancer profile of DALYs by country and region; however, YLLs were the most important component of DALYs in all countries and for all cancers, and contributed to more than 90% of the total burden. Nonetheless, low-resource settings had consistently higher YLLs (as a proportion of total DALYs) than did high-resource settings.Age-adjusted DALYs lost from cancer are substantial, irrespective of world region. The consistently larger proportions of YLLs in low HDI than in high HDI countries indicate substantial inequalities in prognosis after diagnosis, related to degree of human development. Therefore, radical improvement in cancer care is needed in low-resource countries.Dutch Scientific Society, Erasmus University Rotterdam, and International Agency for research on Cancer.Copyright © 2012 Elsevier Ltd. All rights reserved.",NA
2012,Lancet,Cancer mortality in India: a nationally representative survey.,"The age-specific mortality rates and total deaths from specific cancers have not been documented for the various regions and subpopulations of India. We therefore assessed the cause of death in 2001-03 in homes in small areas that were chosen to be representative of all the parts of India.At least 130 trained physicians independently assigned causes to 122,429 deaths, which occurred in 1·1 million homes in 6671 small areas that were randomly selected to be representative of all of India, based on a structured non-medical surveyor's field report.7137 of 122,429 study deaths were due to cancer, corresponding to 556,400 national cancer deaths in India in 2010. 395,400 (71%) cancer deaths occurred in people aged 30-69 years (200,100 men and 195,300 women). At 30-69 years, the three most common fatal cancers were oral (including lip and pharynx, 45,800 [22·9%]), stomach (25,200 [12·6%]), and lung (including trachea and larynx, 22,900 [11·4%]) in men, and cervical (33,400 [17·1%]), stomach (27,500 [14·1%]), and breast (19,900 [10·2%]) in women. Tobacco-related cancers represented 42·0% (84,000) of male and 18·3% (35,700) of female cancer deaths and there were twice as many deaths from oral cancers as lung cancers. Age-standardised cancer mortality rates per 100,000 were similar in rural (men 95·6 [99% CI 89·6-101·7] and women 96·6 [90·7-102·6]) and urban areas (men 102·4 [92·7-112·1] and women 91·2 [81·9-100·5]), but varied greatly between the states, and were two times higher in the least educated than in the most educated adults (men, illiterate 106·6 [97·4-115·7] vs most educated 45·7 [37·8-53·6]; women, illiterate 106·7 [99·9-113·6] vs most educated 43·4 [30·7-56·1]). Cervical cancer was far less common in Muslim than in Hindu women (study deaths 24, age-standardised mortality ratio 0·68 [0·64-0·71] vs 340, 1·06 [1·05-1·08]).Prevention of tobacco-related and cervical cancers and earlier detection of treatable cancers would reduce cancer deaths in India, particularly in the rural areas that are underserved by cancer services. The substantial variation in cancer rates in India suggests other risk factors or causative agents that remain to be discovered.Bill & Melinda Gates Foundation and US National Institutes of Health.Copyright © 2012 Elsevier Ltd. All rights reserved.",NA
2012,Lancet,Gynaecological cancers in pregnancy.,"Cervical and ovarian cancers are the most common gynaecological cancers diagnosed during pregnancy. In early-stage cervical cancer during the first and at the beginning of the second trimester, the two main considerations for management of the patient are the tumour size (and stage) and nodal staging. MRI and laparoscopic lymphadenectomy are useful for clinicians planning a potentially conservative approach. The management of patients with locally advanced cervical disease is controversial and should be discussed on a case-by-case basis according to the tumour size, radiological findings, the term of pregnancy, and the patient's wishes. Different histological types of malignant ovarian diseases arise during pregnancy and their management depends on the diagnosis (histological subtypes, tumour differentiation, and nodal status), the tumour stage, and the trimester of the pregnancy. In patients with peritoneal spread or high-risk early-stage disease, neoadjuvant chemotherapy with pregnancy preservation could be appropriate.Copyright © 2012 Elsevier Ltd. All rights reserved.",NA
2011,Lancet,Self-collection of vaginal specimens for human papillomavirus testing in cervical cancer prevention (MARCH): a community-based randomised controlled trial.,"Vaginal self-sampling for human papillomavirus (HPV) DNA testing could increase rates of screening participation. In clinic-based settings, vaginal HPV testing is at least as sensitive as cytology for detecting cervical intraepithelial neoplasia (CIN) grade 2 or worse; however, effectiveness in home settings is unknown. We aimed to establish the relative sensitivity and positive predictive value for HPV screening of vaginal samples self-collected at home as compared with clinic-based cervical cytology.We did a community-based, randomised equivalence trial in Mexican women of low socioeconomic status aged 25-65 years. Participants came from 540 medically underserved, predominantly rural communities in Morelos, Guerrero, and the state of Mexico. Our primary endpoint was CIN 2 or worse, detected by colposcopy. We used a computer-generated randomisation sequence to randomly allocate patients to HPV screening or cervical cytology. Eight community nurses who were masked to patient allocation received daily lists of the women's names and addresses, and did the assigned home visits. We referred women with positive results in either test to colposcopy. We did per-protocol and intention-to-screen analyses. This trial was registered with the Instituto Nacional de Salud Pública, Mexico, INSP number 590.12,330 women were randomly allocated to HPV screening and 12,731 to cervical cytology; 9202 women in the HPV screening group adhered to the protocol, as did 11,054 in the cervical cytology group. HPV prevalence was 9·8% (95% CI 9·1-10·4) and abnormal cytology rate was 0·38% (0·23-0·45). HPV testing identified 117·4 women with CIN 2 or worse per 10,000 (95·2-139·5) compared with 34·4 women with CIN 2 or worse per 10,000 (23·4-45·3) identified by cytology; the relative sensitivity of HPV testing was 3·4 times greater (2·4-4·9). Similarly, HPV testing detected 4·2 times (1·9-9·2) more invasive cancers than did cytology (30·4 per 10,000 [19·1-41·7] vs 7·2 per 10,000 [2·2-12·3]). The positive predictive value of HPV testing for CIN 2 or worse was 12·2% (9·9-14·5) compared with 90·5% (61·7-100) for cytology.Despite the much lower positive predictive value for HPV testing of self-collected vaginal specimens compared with cytology, such testing might be preferred for detecting CIN 2 or worse in low-resource settings where restricted infrastructure reduces the effectiveness of cytology screening programmes. Because women at these sites will be screened only a few times in their lives, the high sensitivity of a HPV screen is of paramount importance.Instituto Nacional de Salud Pública, the Health Ministry of Mexico, QiAGEN Corp.Copyright © 2011 Elsevier Ltd. All rights reserved.",NA
2011,Lancet,Breast and cervical cancer in 187 countries between 1980 and 2010: a systematic analysis.,"Breast and cervical cancer are important causes of mortality in women aged ≥15 years. We undertook annual age-specific assessments of breast and cervical cancer in 187 countries.We systematically collected cancer registry data on mortality and incidence, vital registration, and verbal autopsy data for the period 1980-2010. We modelled the mortality-to-incidence (MI) ratio using a hierarchical model. Vital registration and verbal autopsy were supplemented with incidence multiplied by the MI ratio to yield a comprehensive database of mortality rates. We used Gaussian process regression to develop estimates of mortality with uncertainty by age, sex, country, and year. We used out-of-sample predictive validity to select the final model. Estimates of incidence with uncertainty were also generated with mortality and MI ratios.Global breast cancer incidence increased from 641,000 (95% uncertainty intervals 610,000-750,000) cases in 1980 to 1,643,000 (1,421,000-1,782,000) cases in 2010, an annual rate of increase of 3·1%. Global cervical cancer incidence increased from 378,000 (256,000-489,000) cases per year in 1980 to 454,000 (318,000-620,000) cases per year in 2010-a 0·6% annual rate of increase. Breast cancer killed 425,000 (359,000-453,000) women in 2010, of whom 68,000 (62,000-74,000) were aged 15-49 years in developing countries. Cervical cancer death rates have been decreasing but the disease still killed 200,000 (139,000-276,000) women in 2010, of whom 46,000 (33,000-64,000) were aged 15-49 years in developing countries. We recorded pronounced variation in the trend in breast cancer mortality across regions and countries.More policy attention is needed to strengthen established health-system responses to reduce breast and cervical cancer, especially in developing countries.Susan G Komen for the Cure and the Bill & Melinda Gates Foundation.Copyright © 2011 Elsevier Ltd. All rights reserved.",NA
2011,Lancet,"Early effect of the HPV vaccination programme on cervical abnormalities in Victoria, Australia: an ecological study.","Australia introduced a human papillomavirus (HPV) vaccination programme with the quadrivalent HPV vaccine for all women aged 12-26 years between 2007 and 2009. We analysed trends in cervical abnormalities in women in Victoria, Australia, before and after introduction of the vaccination programme.With data from the Victorian Cervical Cytology Registry between 2003 and 2009, we compared the incidence of histopathologically defined high-grade cervical abnormalities (HGAs, lesions coded as cervical intraepithelial neoplasia of grade 2 or worse or adenocarcinoma in situ; primary outcome) and low-grade cytological abnormalities (LGAs) in five age groups before (Jan 1, 2003, to March 31, 2007) and after (April 1, 2007, to Dec 31, 2009) the vaccination programme began. Binary comparisons between the two periods were done with Fisher's exact test. Poisson piecewise regression analysis was used to compare incident rate trends.After the introduction of the vaccination programme, we recorded a decrease in the incidence of HGAs by 0·38% (95% CI 0·61-0·16) in girls younger than 18 years. This decrease was progressive and significantly different to the linear trend in incidence before introduction of the vaccination (incident rate ratio 1·14, 1·00-1·30, p=0·05). No similar temporal decline was recorded for LGAs or in older age groups.This is the first report of a decrease in incidence of HGAs within 3 years after the implementation of a population-wide HPV vaccination programme. Linkage between vaccination and screening registers is needed to confirm that this ecological observation is attributable to vaccination and to monitor participation in screening among vaccinated women.None.Copyright © 2011 Elsevier Ltd. All rights reserved.",NA
2009,Lancet,Sustained efficacy and immunogenicity of the human papillomavirus (HPV)-16/18 AS04-adjuvanted vaccine: analysis of a randomised placebo-controlled trial up to 6.4 years.,"Prophylactic human papillomavirus (HPV) vaccines have to provide sustained protection. We assessed efficacy, immunogenicity, and safety of the HPV-16/18 AS04-adjuvanted vaccine up to 6.4 years.Women aged 15-25 years, with normal cervical cytology, who were HPV-16/18 seronegative and oncogenic HPV DNA-negative (14 types) at screening participated in a double-blind, randomised, placebo-controlled initial study (n=1113; 560 vaccine group vs 553 placebo group) and follow-up study (n=776; 393 vs 383). 27 sites in three countries participated in the follow-up study. Cervical samples were tested every 6 months for HPV DNA. Management of abnormal cytologies was prespecified, and HPV-16/18 antibody titres were assessed. The primary objective was to assess long-term vaccine efficacy in the prevention of incident cervical infection with HPV 16 or HPV 18, or both. We report the analyses up to 6.4 years of this follow-up study and combined with the initial study. For the primary endpoint, the efficacy analysis was done in the according-to-protocol (ATP) cohort; the analysis of cervical intraepithelial neoplasia grade 2 and above (CIN2+) was done in the total vaccinated cohort (TVC). The study is registered with ClinicalTrials.gov, number NCT00120848.For the combined analysis of the initial and follow-up studies, the ATP efficacy cohort included 465 women in the vaccine group and 454 in the placebo group; the TVC included 560 women in the vaccine group and 553 in the placebo group. Vaccine efficacy against incident infection with HPV 16/18 was 95.3% (95% CI 87.4-98.7) and against 12-month persistent infection was 100% (81.8-100). Vaccine efficacy against CIN2+ was 100% (51.3-100) for lesions associated with HPV-16/18 and 71.9% (20.6-91.9) for lesions independent of HPV DNA. Antibody concentrations by ELISA remained 12-fold or more higher than after natural infection (both antigens). Safety outcomes were similar between groups: during the follow-up study, 30 (8%) participants reported a serious adverse event in the vaccine group versus 37 (10%) in the placebo group. None was judged related or possibly related to vaccination, and no deaths occurred.Our findings show excellent long-term efficacy, high and sustained immunogenicity, and favourable safety of the HPV-16/18 AS04-adjuvanted vaccine up to 6.4 years.GlaxoSmithKline Biologicals (Belgium).",NA
2009,Lancet,"Efficacy of human papillomavirus (HPV)-16/18 AS04-adjuvanted vaccine against cervical infection and precancer caused by oncogenic HPV types (PATRICIA): final analysis of a double-blind, randomised study in young women.","The human papillomavirus (HPV)-16/18 AS04-adjuvanted vaccine was immunogenic, generally well tolerated, and effective against HPV-16 or HPV-18 infections, and associated precancerous lesions in an event-triggered interim analysis of the phase III randomised, double-blind, controlled PApilloma TRIal against Cancer In young Adults (PATRICIA). We now assess the vaccine efficacy in the final event-driven analysis.Women (15-25 years) were vaccinated at months 0, 1, and 6. Analyses were done in the according-to-protocol cohort for efficacy (ATP-E; vaccine, n=8093; control, n=8069), total vaccinated cohort (TVC, included all women receiving at least one vaccine dose, regardless of their baseline HPV status; represents the general population, including those who are sexually active; vaccine, n=9319; control, n=9325), and TVC-naive (no evidence of oncogenic HPV infection at baseline; represents women before sexual debut; vaccine, n=5822; control, n=5819). The primary endpoint was to assess vaccine efficacy against cervical intraepithelial neoplasia 2+ (CIN2+) that was associated with HPV-16 or HPV-18 in women who were seronegative at baseline, and DNA negative at baseline and month 6 for the corresponding type (ATP-E). This trial is registered with ClinicalTrials.gov, number NCT00122681.Mean follow-up was 34.9 months (SD 6.4) after the third dose. Vaccine efficacy against CIN2+ associated with HPV-16/18 was 92.9% (96.1% CI 79.9-98.3) in the primary analysis and 98.1% (88.4-100) in an analysis in which probable causality to HPV type was assigned in lesions infected with multiple oncogenic types (ATP-E cohort). Vaccine efficacy against CIN2+ irrespective of HPV DNA in lesions was 30.4% (16.4-42.1) in the TVC and 70.2% (54.7-80.9) in the TVC-naive. Corresponding values against CIN3+ were 33.4% (9.1-51.5) in the TVC and 87.0% (54.9-97.7) in the TVC-naive. Vaccine efficacy against CIN2+ associated with 12 non-vaccine oncogenic types was 54.0% (34.0-68.4; ATP-E). Individual cross-protection against CIN2+ associated with HPV-31, HPV-33, and HPV-45 was seen in the TVC.The HPV-16/18 AS04-adjuvanted vaccine showed high efficacy against CIN2+ associated with HPV-16/18 and non-vaccine oncogenic HPV types and substantial overall effect in cohorts that are relevant to universal mass vaccination and catch-up programmes.GlaxoSmithKline Biologicals.",NA
2009,Lancet,"Safety, immunogenicity, and efficacy of quadrivalent human papillomavirus (types 6, 11, 16, 18) recombinant vaccine in women aged 24-45 years: a randomised, double-blind trial.","Although the peak incidence of human papillomavirus (HPV) infection occurs in most populations within 5-10 years of first sexual experience, all women remain at risk for acquisition of HPV infections. We tested the safety, immunogenicity, and efficacy of the quadrivalent HPV (types 6, 11, 16, 18) L1 virus-like-particle vaccine in women aged 24-45 years.Women aged 24-45 years with no history of genital warts or cervical disease were enrolled from community health centres, academic health centres, and primary health-care providers into an ongoing multicentre, parallel, randomised, placebo-controlled, double-blind study. Participants were allocated by computer-generated schedule to receive quadrivalent HPV vaccine (n=1911) or placebo (n=1908) at day 1, and months 2 and 6. All study site investigators and personnel, study participants, monitors, and central laboratory personnel were blinded to treatment allocation. Coprimary efficacy endpoints were 6 months' or more duration of infection and cervical and external genital disease due to HPV 6, 11, 16, 18; and due to HPV 16 and 18 alone. Primary efficacy analyses were done in a per-protocol population, but intention-to-treat analyses were also undertaken. This study is registered with ClinicalTrials.gov, number NCT00090220.1910 women received at least one dose of vaccine and 1907 at least one dose of placebo. In the per-protocol population, efficacy against the first coprimary endpoint (disease or infection related to HPV 6, 11, 16, and 18) was 90.5% (95% CI 73.7-97.5, four of 1615 cases in the vaccine group vs 41/1607 in the placebo group) and 83.1% (50.6-95.8, four of 1601 cases vs 23/1579 cases) against the second coprimary endpoint (disease or infection related to HPV 16 and 18 alone). In the intention-to-treat population, efficacy against the first coprimary endpoint was 30.9% (95% CI 11.1-46.5, 108/1886 cases vs 154/1883 cases) and against the second coprimary endpoint was 22.6% (-2.9 to 41.9, 90/1886 cases vs 115/1883 cases), since infection and disease were present at baseline. We recorded no vaccine-related serious adverse events.The quadrivalent HPV vaccine is efficacious in women aged 24-45 years not infected with the relevant HPV types at enrolment.Merck (USA).",NA
2008,Lancet,"Primary, secondary, and tertiary interventions to reduce the morbidity and mortality of preterm birth.","Interventions to reduce the morbidity and mortality of preterm birth can be primary (directed to all women), secondary (aimed at eliminating or reducing existing risk), or tertiary (intended to improve outcomes for preterm infants). Most efforts so far have been tertiary interventions, such as regionalised care, and treatment with antenatal corticosteroids, tocolytic agents, and antibiotics. These measures have reduced perinatal morbidity and mortality, but the incidence of preterm birth is increasing. Advances in primary and secondary care, following strategies used for other complex health problems, such as cervical cancer, will be needed to prevent prematurity-related illness in infants and children.",NA
2007,Lancet,"Cervical cancer and hormonal contraceptives: collaborative reanalysis of individual data for 16,573 women with cervical cancer and 35,509 women without cervical cancer from 24 epidemiological studies.","Combined oral contraceptives are classified by the International Agency for Research on Cancer as a cause of cervical cancer. As the incidence of cervical cancer increases with age, the public-health implications of this association depend largely on the persistence of effects long after use of oral contraceptives has ceased. Information from 24 studies worldwide is pooled here to investigate the association between cervical carcinoma and pattern of oral contraceptive use.Individual data for 16,573 women with cervical cancer and 35,509 without cervical cancer were reanalysed centrally. Relative risks of cervical cancer were estimated by conditional logistic regression, stratifying by study, age, number of sexual partners, age at first intercourse, parity, smoking, and screening.Among current users of oral contraceptives the risk of invasive cervical cancer increased with increasing duration of use (relative risk for 5 or more years' use versus never use, 1.90 [95% CI 1.69-2.13]). The risk declined after use ceased, and by 10 or more years had returned to that of never users. A similar pattern of risk was seen both for invasive and in-situ cancer, and in women who tested positive for high-risk human papillomavirus. Relative risk did not vary substantially between women with different characteristics.The relative risk of cervical cancer is increased in current users of oral contraceptives and declines after use ceases. 10 years' use of oral contraceptives from around age 20 to 30 years is estimated to increase the cumulative incidence of invasive cervical cancer by age 50 from 7.3 to 8.3 per 1000 in less developed countries and from 3.8 to 4.5 per 1000 in more developed countries.",NA
2007,Lancet,Human papillomavirus DNA testing for the detection of cervical intraepithelial neoplasia grade 3 and cancer: 5-year follow-up of a randomised controlled implementation trial.,"Tests for the DNA of high-risk types of human papillomavirus (HPV) have a higher sensitivity for cervical intraepithelial neoplasia grade 3 or worse (CIN3+) than does cytological testing, but the necessity of such testing in cervical screening has been debated. Our aim was to determine whether the effectiveness of cervical screening improves when HPV DNA testing is implemented.Women aged 29-56 years who were participating in the regular cervical screening programme in the Netherlands were randomly assigned to combined cytological and HPV DNA testing or to conventional cytological testing only. After 5 years, combined cytological and HPV DNA testing were done in both groups. The primary outcome measure was the number of CIN3+ lesions detected. Analyses were done by intention to treat. This trial is registered as an International Standard Randomised Controlled Trial, number ISRCTN20781131.8575 women in the intervention group and 8580 in the control group were recruited, followed up for sufficient time (> or =6.5 years), and met eligibility criteria for our analyses. More CIN3+ lesions were detected at baseline in the intervention group than in the control group (68/8575 vs 40/8580, 70% increase, 95% CI 15-151; p=0.007). The number of CIN3+ lesions detected in the subsequent round was lower in the intervention group than in the control group (24/8413 vs 54/8456, 55% decrease, 95% CI 28-72; p=0.001). The number of CIN3+ lesions over the two rounds did not differ between groups.The implementation of HPV DNA testing in cervical screening leads to earlier detection of CIN3+ lesions. Earlier detection of such lesions could permit an extension of the screening interval.",NA
2007,Lancet,Human papillomavirus and cervical cancer.,"Cervical cancer is the second most common cancer in women worldwide, and knowledge regarding its cause and pathogenesis is expanding rapidly. Persistent infection with one of about 15 genotypes of carcinogenic human papillomavirus (HPV) causes almost all cases. There are four major steps in cervical cancer development: infection of metaplastic epithelium at the cervical transformation zone, viral persistence, progression of persistently infected epithelium to cervical precancer, and invasion through the basement membrane of the epithelium. Infection is extremely common in young women in their first decade of sexual activity. Persistent infections and precancer are established, typically within 5-10 years, from less than 10% of new infections. Invasive cancer arises over many years, even decades, in a minority of women with precancer, with a peak or plateau in risk at about 35-55 years of age. Each genotype of HPV acts as an independent infection, with differing carcinogenic risks linked to evolutionary species. Our understanding has led to improved prevention and clinical management strategies, including improved screening tests and vaccines. The new HPV-oriented model of cervical carcinogenesis should gradually replace older morphological models based only on cytology and histology. If applied wisely, HPV-related technology can minimise the incidence of cervical cancer, and the morbidity and mortality it causes, even in low-resource settings.",NA
2007,Lancet,"Effect of visual screening on cervical cancer incidence and mortality in Tamil Nadu, India: a cluster-randomised trial.","Cervical cancer is the most common cancer among women in developing countries. We assessed the effect of screening using visual inspection with 4% acetic acid (VIA) on cervical cancer incidence and mortality in a cluster randomised controlled trial in India.Of the 114 study clusters in Dindigul district, India, 57 were randomised to one round of VIA by trained nurses, and 57 to a control group. Healthy women aged 30 to 59 years were eligible for the study. Screen-positive women had colposcopy, directed biopsies, and, where appropriate, cryotherapy by nurses during the screening visit. Those with larger precancerous lesions or invasive cancers were referred for appropriate investigations and treatment. Cervical cancer incidence and mortality in the study groups were analysed and compared using Cox regression taking the cluster design into account, and analysis was by intention to treat. The primary outcome measures were cervical cancer incidence and mortality.Of the 49,311 eligible women in the intervention group, 31,343 (63.6%) were screened during 2000-03; 30,958 control women received the standard care. Of the 3088 (9.9%) screened positive, 3052 had colposcopy, and 2539 directed biopsy. Of the 1874 women with precancerous lesions in the intervention group, 72% received treatment. In the intervention group, 274,430 person years, 167 cervical cancer cases, and 83 cervical cancer deaths were accrued compared with 178,781 person-years, 158 cases, and 92 deaths and in the control group during 2000-06 (incidence hazard ratio 0.75 [95% CI 0.55-0.95] and mortality hazard ratio 0.65 [0.47-0.89]).VIA screening, in the presence of good training and sustained quality assurance, is an effective method to prevent cervical cancer in developing countries.",NA
2007,Lancet,"Efficacy of a prophylactic adjuvanted bivalent L1 virus-like-particle vaccine against infection with human papillomavirus types 16 and 18 in young women: an interim analysis of a phase III double-blind, randomised controlled trial.","The aim of this interim analysis of a large, international phase III study was to assess the efficacy of an AS04 adjuvanted L1 virus-like-particle prophylactic candidate vaccine against infection with human papillomavirus (HPV) types 16 and 18 in young women.18,644 women aged 15-25 years were randomly assigned to receive either HPV16/18 vaccine (n=9319) or hepatitis A vaccine (n=9325) at 0, 1, and 6 months. Of these women, 88 were excluded because of high-grade cytology and 31 for missing cytology results. Thus, 9258 women received the HPV16/18 vaccine and 9267 received the control vaccine in the total vaccinated cohort for efficacy, which included women who had prevalent oncogenic HPV infections, often with several HPV types, as well as low-grade cytological abnormalities at study entry and who received at least one vaccine dose. We assessed cervical cytology and subsequent biopsy for 14 oncogenic HPV types by PCR. The primary endpoint--vaccine efficacy against cervical intraepithelial neoplasia (CIN) 2+ associated with HPV16 or HPV18--was assessed in women who were seronegative and DNA negative for the corresponding vaccine type at baseline (month 0) and allowed inclusion of lesions with several oncogenic HPV types. This interim event-defined analysis was triggered when at least 23 cases of CIN2+ with HPV16 or HPV18 DNA in the lesion were detected in the total vaccinated cohort for efficacy. Analyses were done on a modified intention-to-treat basis. This trial is registered with the US National Institutes of Health clinical trial registry, number NCT00122681.Mean length of follow-up for women in the primary analysis for efficacy at the time of the interim analysis was 14.8 (SD 4.9) months. Two cases of CIN2+ associated with HPV16 or HPV18 DNA were seen in the HPV16/18 vaccine group; 21 were recorded in the control group. Of the 23 cases, 14 (two in the HPV16/18 vaccine group, 12 in the control group) contained several oncogenic HPV types. Vaccine efficacy against CIN2+ containing HPV16/18 DNA was 90.4% (97.9% CI 53.4-99.3; p<0.0001). No clinically meaningful differences were noted in safety outcomes between the study groups.The adjuvanted HPV16/18 vaccine showed prophylactic efficacy against CIN2+ associated with HPV16 or HPV18 and thus could be used for cervical cancer prevention.",NA
2007,Lancet,"Effect of prophylactic human papillomavirus L1 virus-like-particle vaccine on risk of cervical intraepithelial neoplasia grade 2, grade 3, and adenocarcinoma in situ: a combined analysis of four randomised clinical trials.","Cervical cancer and its obligate precursors, cervical intraepithelial neoplasia grades 2 and 3 (CIN2/3), and adenocarcinona in situ (AIS), are caused by oncogenic human papillomavirus (HPV). In this combined analysis of four clinical trials we assessed the effect of prophylactic HPV vaccination on these diseases.20,583 women aged 16-26 years were randomised to receive quadrivalent HPV6/11/16/18 vaccine (n=9087), its HPV16 vaccine component (n=1204), or placebo (n=10 292). They underwent periodic Papanicolaou testing, with colposcopy or biopsy for detected abnormalities. The primary composite endpoint was the combined incidence of HPV16/18-related CIN2/3, AIS, or cervical cancer. These trials are registered at ClinicalTrials.gov, numbers NCT00365378, NCT00365716, NCT00092521, and NCT00092534.Mean follow-up was 3.0 years (SD 0.66) after first dose. In women negative for HPV16 or HPV18 infection during the vaccination regimen (n=17 129, per protocol), vaccine efficacy was 99% for the primary endpoint (95% CI 93-100), meeting the statistical criterion for success. In an intention-to-treat analysis of all randomised women (including those who were HPV16/18 naive or HPV16/18-infected at day 1), efficacy was 44% (95% CI 31-55); all but one case in vaccine recipients occurred in women infected with HPV16 or HPV18 before vaccination. In a second intention-to-treat analysis we noted an 18% reduction (95% CI 7-29) in the overall rate of CIN2/3 or AIS due to any HPV type.Administration of HPV vaccine to HPV-naive women, and women who are already sexually active, could substantially reduce the incidence of HPV16/18-related cervical precancers and cervical cancer.",NA
2007,Lancet,"Efficacy of a quadrivalent prophylactic human papillomavirus (types 6, 11, 16, and 18) L1 virus-like-particle vaccine against high-grade vulval and vaginal lesions: a combined analysis of three randomised clinical trials.","Vulval and vaginal cancers among younger women are often related to infection with human papillomavirus (HPV). These cancers are preceded by high-grade vulval intraepithelial neoplasia (VIN2-3) and vaginal intraepithelial neoplasia (VaIN2-3). Our aim was to do a combined analysis of three randomised clinical trials to assess the effect of a prophylactic quadrivalent HPV vaccine on the incidence of these diseases.18 174 women (16-26 years) were enrolled and randomised to receive either quadrivalent HPV6/11/16/18 L1 virus-like-particle vaccine or placebo at day 1, and months 2 and 6. Individuals underwent detailed anogenital examination at day 1, 1 month after dose three, and at 6-12-month intervals for up to 48 months. Suspect genital lesions were biopsied and read by a panel of pathologists and vaccine HPV type-specific DNA testing was done. The primary endpoint was the combined incidence of VIN2-3 or VaIN2-3 associated with HPV16 or HPV18. Primary efficacy analyses were done in a per-protocol population.The mean follow-up time was 3 years. Among women naive to HPV16 or HPV18 through 1 month after dose three (per-protocol population; vaccine n=7811; placebo n=7785), the vaccine was 100% effective (95% CI 72-100) against VIN2-3 or VaIN2-3 associated with HPV16 or HPV18. In the intention-to-treat population (which included 18 174 women who, at day 1, could have been infected with HPV16 or HPV18), vaccine efficacy against VIN2-3 or VaIN2-3 associated with HPV16 or HPV18 was 71% (37-88). The vaccine was 49% (18-69) effective against all VIN2-3 or VaIN2-3, irrespective of whether or not HPV DNA was detected in the lesion. The most common treatment-related adverse event was injection-site pain.Prophylactic administration of quadrivalent HPV vaccine was effective in preventing high-grade vulval and vaginal lesions associated with HPV16 or HPV18 infection in women who were naive to these types before vaccination. With time, such vaccination could result in reduced rates of HPV-related vulval and vaginal cancers.",NA
